slug	known	why	emoji
soowon-galbi-34.0564_-118.2914	Tableside-grilled galbi and standout banchan refills	the K-town KBBQ classic	🥩
elorea-34.0638_-118.2982	Korean-inspired scents with drink pairings to match	a little slice of Seoul in K-town	🌸
adhor-milk-farms-historic-site-34.132_-118.147	1920s dairy neon sign, now crowning Howlin' Ray's	old-LA landmark spotting	🥛
bts-pop-up-34.0836_-118.3632	Rotating K-pop pop-ups and photo ops		🎤
yoeechee-37.784_-122.4327	Fresh nigiri sets and unagi rice bowls	quality sets without the omakase price	🍣
sushi-koto-33.7003_-117.953	The $23 chirashi bowl — fresh and generous		🍣
open-air-34.0836_-118.3707	Seasonal California fare in the Line Hotel greenhouse	glass-dome date-night spot	🥂
jun-won-dak-34.0688_-118.307	Samgyetang some swear beats Seoul's	hole-in-the-wall Korean at 4.9 stars	🍲
devil-angel-desserts-33.8313_-118.3496	Dubai-chocolate strawberries and black-sugar milk tea		🍓
rok-coffee-and-tea-34.0894_-118.2769	The matcha duo — K-town's favorite order		🍵
mamie-34.0906_-118.3617	The Di Parma and other stacked Italian sandwiches	the TikTok-famous sandwich stop	🥪
pizzanista-34.0347_-118.2316	NY-style slices, plus a $1 day-old slice deal	skate-scene pizza institution	🍕
bodega-37.7849_-122.4092	Modern Vietnamese plates with a wine list	Infatuation top-20 SF pick	🍚
duc-huong-sandwiches-37.3314_-121.855	BBQ-pork banh mi on garlic bread	the San Jose banh mi line that moves	🥖
garden-creamery-37.7587_-122.4204	Asian-flavor scoops — the ube is the move		🍦
stan-s-donut-shop-37.3388_-121.9729	Fryer-fresh glazed donuts; cash only, sells out	old-school Santa Clara legend	🍩
parachute-bakery-37.7961_-122.3939	Gochujang pimento-cheese twist at the Ferry Building		🥐
sasa-37.7852_-122.4292	Kaiseki sets and creamy scallop rolls		🍱
hog-island-oyster-co-37.7959_-122.3935	Local oysters and clams with a bay view	the Ferry Building oyster ritual	🦪
udon-mugizo-37.7851_-122.4317	Mentaiko cream udon in Japantown		🍜
pineapple-king-bakery-37.7634_-122.4785	Warm pineapple buns and HK milk puddings		🍍
san-tung-37.7637_-122.469	The dry-fried chicken wings, period	SF wing pilgrimage since forever	🍗
bacio-di-latte-34.146_-118.1524	Silky gelato — pistachio-dipped cones		🍨
sweet-please-37.3369_-121.8887	Small-batch cakes with an ever-rotating menu		🎂
mitchell-s-ice-cream-37.7442_-122.4228	Small-batch scoops and tropical flavors since 1953	the Mission's old-school scoop line	🍦
mashti-malone-s-34.0987_-118.3449	Persian saffron-rose and faloodeh scoops	LA's Persian ice-cream original	🍧
bumsan-organic-milk-bar-34.0643_-118.3089	Organic-milk soft serve, croffles on the side		🍦
meadowlark-dairy-37.6603_-121.8745	Drive-through soft serve worth the block-long line		🍦
villa-s-tacos-34.1086_-118.1969	Blue-corn tacos with a Michelin Bib nod	Highland Park's line worth standing in	🌮
sichuan-street-food-34.1447_-118.129	Cumin lamb and fiery Sichuan classics		🌶️
twinflame-37.8236_-122.2566	Korean-Japanese hambagu steaks in a tiny room	get in line before 5	🥩
pan-y-cafe-33.7477_-117.8707	Buttery pastries and well-pulled coffee		🥐
pine-crane-34.0905_-118.2771	Dan dan noodles and Taiwanese small plates	Silver Lake's Taiwanese anchor	🍜
phu-s-bakery-34.0624_-118.0729	The $2 Portuguese egg tarts	creamy-crunchy SGV staple	🥧
souvla-37.7745_-122.4379	Roast-meat pitas and Greek frozen yogurt		🥙
sun-moon-studio-37.8145_-122.2861	Dashi egg-custard tart on a Michelin tasting menu	the Bay's warmest starred dining	🌗
saltwater-bakeshop-37.7747_-122.4131	Passionfruit kouign amann and burnt-sugar cake		🥐
kuidaore-handroll-bar-37.7942_-122.2766	Crisp-nori handrolls and happy spoons		🍣
matcha-cafe-maiko-34.0682_-118.1338	Matcha soft-serve waffle cones		🍵
yumee-katsu-37.6944_-122.0742	Katsu combos with three dipping sauces		🍱
al-carajo-sf-37.7555_-122.4194	Yucatán plates and the famous breakfast burrito		🌯
whole-cakes-37.7867_-122.4017	Organic, gluten-free Asian-flavor cakes		🍰
ones-cafe-bakery-37.6954_-122.0746	Paris-caliber croissants in Castro Valley		🥐
marufuku-ramen-37.8351_-122.2627	Hakata tonkotsu DX and takoyaki		🍜
cheese-board-pizza-37.8799_-122.2695	One vegetarian pizza a day — that's it	Berkeley institution, half-block line	🍕
marugame-udon-37.8734_-122.2683	Fresh-pulled udon and a tempura bar		🍜
scott-s-37.7942_-122.2771	Oysters Rockefeller and a jazz brunch		🦞
the-happy-crane-37.7775_-122.4233	Shattering-crisp Peking duck	the duck is the whole point	🦆
angler-37.793_-122.3923	Wood-fired seafood with bay views		🔥
miller-lux-37.7682_-122.3865	Steaks and a tableside Caesar		🥩
niku-steakhouse-37.7696_-122.4036	House-cut wagyu at the grill counter		🥩
nisei-37.7981_-122.422	Japanese-American tasting menus		🍱
khao-tiew-37.7411_-122.465	Khao soi and burnt-butter kaya toast	worth-the-waitlist Thai	🍛
californios-37.7715_-122.4129	Inventive Mexican tasting — savory flan, quail mole	the SF splurge list	🫔
fu-hui-hua-37.7527_-122.4085	Seasonal Chinese tasting menus	SF's toughest reservation snag	🥢
itani-sushi-37.8798_-122.269	Generous sashimi sets — free toro upgrades happen		🍣
kamado-sushi-37.8818_-122.2698	Japan-flown fish and rare kohada nigiri	omakase quality, neighborhood price	🍣
comal-37.8716_-122.2687	Wood-fired Mexican and mezcal cocktails on the patio		🍹
sizzling-lunch-37.8725_-122.2683	DIY sizzling pepper-rice plates		🍳
tanzie-s-37.8623_-122.2815	Northern Thai brunch plates		🍛
rice-dynasty-37.8664_-122.2589	Beef tomato lotus-leaf rice	the near-campus comfort order	🍚
little-gem-belgian-waffles-37.8656_-122.2587	Chewy pressed Belgian waffles, no toppings needed		🧇
binge-coffee-house-37.8677_-122.2576	Vietnamese coffee in a study-friendly nook		☕
hui-lau-shan-37.8681_-122.2663	Mango everything — mochi, sago, icy		🥭
butterfish-sushi-37.8685_-122.2962	Handrolls and hirame usuzukuri; call ahead, few seats	Bay-best quality for the price	🍣
fentons-creamery-37.828_-122.2501	Mountainous sundaes at a century-old parlor	the nostalgia hit	🍨
heytea-37.8709_-122.268	Supreme brown-sugar boba, warm at the bottom		🧋
kura-revolving-sushi-bar-37.872_-122.2682	Conveyor-belt sushi with prize capsules		🍣
ippudo-37.872_-122.2674	Hakata tonkotsu from the Fukuoka original		🍜
chahalo-37.8722_-122.2696	Silky milk tea — 4.9 stars and counting		🧋
u-dessert-story-37.8741_-122.2684	Ube milk boba and Thai-tea crepe cake		🍰
great-china-37.8677_-122.2662	Peking duck worth the famous wait	Berkeley's special-occasion Chinese	🦆
li-s-knife-cut-noodle-37.8703_-122.2672	Hand-shaved knife-cut noodles		🍜
punjabi-dhaba-37.8683_-122.258	Samosa chaat and the best chai in town		🍛
yume-mori-matcha-37.8673_-122.2673	Kumo matcha and crepes — zero bitterness	worth the line outside	🍵
